Occ1,Flow1,Occ2,Flow2,Occ3,Flow3
0.0886,107,0.0727,112,0.0403,52
0.0603,78,0.0618,95,0.0413,51
0.0683,86,0.0689,93,0.0571,59
0.0508,64,0.0502,78,0.0345,42
0.0491,63,0.0473,72,0.0365,42
0.0439,57,0.0458,71,0.0426,45
0.0442,56,0.0507,77,0.0382,46
0.0365,45,0.0471,70,0.0456,53
0.035,46,0.0487,72,0.0371,45
0.0358,49,0.0506,75,0.0371,42
0.0238,34,0.0356,57,0.0354,45
0.0343,48,0.042,65,0.0319,42
0.0341,44,0.0405,60,0.0253,32
0.0329,43,0.0373,60,0.0295,37
0.023,30,0.0392,62,0.0274,35
0.0225,28,0.0312,51,0.034,38
0.0272,36,0.0339,53,0.0263,37
0.0288,36,0.0344,53,0.0332,38
0.0237,32,0.0345,56,0.0313,31
0.0227,30,0.0378,54,0.0303,31
0.031,39,0.0441,57,0.0448,52
0.0129,17,0.0219,33,0.0195,22
0.0184,25,0.0304,46,0.0278,34
0.0232,31,0.0283,44,0.0246,29
0.015,19,0.0282,43,0.0263,28
0.0167,22,0.0328,47,0.0143,20
0.0154,18,0.0296,45,0.0223,25
0.0163,21,0.0249,33,0.0307,31
0.0164,21,0.0243,36,0.02,20
0.0103,14,0.0174,27,0.0167,21
0.0159,21,0.0261,38,0.0257,22
0.0078,9,0.0153,22,0.0189,19
0.0151,17,0.0204,24,0.0262,29
0.0146,16,0.0172,21,0.0312,19
0.0078,10,0.0237,33,0.016,16
0.0046,6,0.0187,27,0.0206,23
0.008,10,0.0117,17,0.0191,17
0.0084,11,0.0221,33,0.0157,16
0.0062,8,0.0161,23,0.0196,18
0.0073,10,0.0165,24,0.0158,13
0.0029,4,0.0168,23,0.0122,17
0.0058,8,0.0161,24,0.0154,17
0.0094,11,0.0127,16,0.0253,25
0.0128,15,0.0166,25,0.0105,14
0.0047,6,0.0173,21,0.0109,13
0.0056,7,0.0119,18,0.0141,15
0.0081,9,0.0159,20,0.0122,15
0.0089,11,0.0161,23,0.0128,16
0.0007,1,0.012,20,0.0118,19
0.0036,5,0.0099,15,0.0121,14
0.0091,11,0.0138,21,0.014,13
0.0044,5,0.0126,19,0.0134,12
0.0019,3,0.0111,17,0.015,14
0.0038,4,0.0082,13,0.0168,15
0.0019,2,0.0103,14,0.0072,5
0.0007,1,0.0132,17,0.0104,10
0.001,1,0.0121,18,0.0121,12
0.0039,5,0.0133,15,0.0124,11
0.0009,1,0.0099,9,0.0113,9
0.0008,1,0.0079,12,0.0103,10
0.0018,2,0.0073,11,0.0185,10
0.0031,4,0.0122,16,0.0082,7
0.0017,2,0.0064,9,0.0058,6
0.0027,3,0.0115,18,0.0062,8
0.0036,5,0.0105,15,0.0144,12
0.0013,2,0.0072,8,0.0089,5
0.0007,1,0.0082,12,0.0092,6
0.0014,2,0.0128,17,0.0032,3
0.001,1,0.0075,11,0.0056,7
0.0019,2,0.0067,11,0.0066,6
0,0,0.006,9,0.0088,8
0.0017,2,0.0097,13,0.0094,8
0.003,4,0.006,8,0.0143,9
0.0008,1,0.0097,14,0.0084,7
0.001,1,0.0131,15,0.011,9
0.0007,1,0.0051,8,0.016,10
0.0017,2,0.0063,8,0.0096,8
0.002,3,0.0043,7,0.008,6
0.0016,2,0.0079,7,0.0133,13
0,0,0.0112,16,0.0083,8
0.0021,3,0.0173,21,0.0077,6
0.0016,2,0.0132,18,0.0105,6
0.0009,1,0.0101,10,0.0101,8
0.0016,2,0.0093,13,0.0121,12
0.0032,3,0.0176,19,0.0085,9
0.0026,3,0.014,15,0.0146,11
0.004,5,0.01,15,0.0143,9
0.0037,5,0.0131,18,0.0115,10
0.0069,8,0.0254,30,0.0149,14
0.0065,8,0.0177,25,0.0105,7
0.0073,9,0.0152,20,0.018,20
0.0032,4,0.0141,19,0.0065,10
0.0102,13,0.0181,27,0.0287,23
0.0041,6,0.0123,21,0.0164,14
0.0097,14,0.024,35,0.0132,13
0.0041,6,0.0197,29,0.0125,16
0.0095,14,0.0201,31,0.0096,7
0.006,8,0.0269,40,0.0089,11
0.0101,14,0.0185,31,0.0125,14
0.0112,15,0.0175,30,0.0183,20
0.015,23,0.019,30,0.0143,15
0.0208,32,0.0348,53,0.0211,22
0.0136,21,0.0266,41,0.021,22
0.0142,21,0.025,43,0.0177,18
0.0161,25,0.0263,45,0.0205,27
0.0183,30,0.0317,54,0.0219,23
0.0243,37,0.0301,46,0.0245,24
0.0208,32,0.025,42,0.0284,29
0.0205,32,0.0325,53,0.0291,33
0.0189,29,0.0382,56,0.0139,20
0.0258,38,0.0452,73,0.0247,28
0.0331,50,0.0348,63,0.0308,41
0.0276,43,0.0372,62,0.0233,34
0.0297,43,0.0386,64,0.0316,37
0.0274,40,0.0418,64,0.0236,34
0.0352,54,0.0551,86,0.0292,34
0.0471,65,0.0473,72,0.0382,41
0.0398,58,0.0479,79,0.0361,38
0.0297,43,0.0349,56,0.0302,34
0.0337,51,0.0404,73,0.0293,35
0.0486,75,0.055,83,0.0321,28
0.0512,75,0.0526,88,0.0383,49
0.0663,99,0.0597,93,0.0416,53
0.0331,50,0.0525,84,0.0432,54
0.0336,51,0.0483,80,0.0352,41
0.0421,60,0.044,74,0.0384,41
0.0412,60,0.0485,75,0.0386,48
0.0511,74,0.0505,87,0.04,52
0.0531,80,0.0599,95,0.0331,51
0.0399,63,0.0562,86,0.0335,47
0.0439,68,0.0503,83,0.0454,52
0.0523,79,0.0579,84,0.0413,54
0.0418,64,0.047,76,0.0403,51
0.0386,56,0.0531,87,0.0282,44
0.0501,75,0.0554,92,0.0368,50
0.0467,67,0.0482,81,0.0354,53
0.0567,84,0.0529,87,0.0446,54
0.0553,81,0.0548,87,0.0414,55
0.0517,75,0.0585,95,0.0412,57
0.0603,91,0.058,98,0.0411,52
0.0672,97,0.068,103,0.0443,64
0.059,84,0.0596,100,0.0418,62
0.0698,100,0.0649,105,0.0425,58
0.0638,92,0.0599,102,0.0456,57
0.0578,84,0.0595,101,0.0558,74
0.0606,88,0.0591,95,0.0437,59
0.0706,99,0.0723,119,0.0487,67
0.0641,89,0.0677,109,0.0505,71
0.0581,86,0.0724,114,0.0432,65
0.0685,100,0.0696,118,0.0441,60
0.0609,88,0.0631,104,0.0485,65
0.0788,115,0.0637,104,0.0574,76
0.0599,85,0.081,126,0.0556,71
0.0788,111,0.0706,116,0.0417,54
0.0619,91,0.062,104,0.0478,74
0.0732,107,0.0773,116,0.0572,71
0.0498,72,0.0617,103,0.0484,69
0.0538,78,0.0705,114,0.0582,77
0.0793,112,0.0737,122,0.0505,67
0.0676,98,0.0599,100,0.0496,64
0.0529,78,0.0698,118,0.0445,69
0.087,123,0.0717,121,0.0501,65
0.0733,102,0.0678,106,0.0445,69
0.0712,103,0.0732,119,0.0477,69
0.0796,114,0.0777,125,0.0517,68
0.0651,99,0.0829,131,0.0471,64
0.0737,110,0.0667,109,0.0503,70
0.0696,102,0.0635,104,0.0545,67
0.0896,121,0.0714,111,0.0626,85
0.0697,99,0.0689,116,0.0417,69
0.0751,109,0.0788,128,0.0563,87
0.0828,120,0.0779,129,0.0541,78
0.0732,106,0.0628,103,0.0466,70
0.0847,122,0.0698,110,0.0474,65
0.0797,116,0.0725,107,0.0515,73
0.0784,114,0.0668,114,0.0402,61
0.0603,93,0.0648,116,0.0537,66
